COHORT	SYMBOL	TIER	cancer_type	parent	name_parent	sequencing	ROLE	CGC_GENE	CGC_CANCER_GENE	gene_driver_statement	SAMPLES	MUTS	MUTS/SAMPLE	Significant_Bidders	TYPET	PATH	SNP	INDEL	INDEL/SNP	Signature10	Signature9	Warning_Expression	Warning_Germline	Warning_size	Samples_3muts	Warning_Palindrome	PALINDROME	FILTER
CBIOP_WXS_PRAD_BROAD	SPOP	1	PRAD	MRS	Male reproductory system	WXS	dom	YES	YES	tier1_tier3	14.0	14.0	1.0	hotmapssignature,dndscv,cbase	primary	/workspace/projects/intogen_2017/runs/20180502/combination/CBIOP_WXS_PRAD_BROAD.01.out.gz	14.0	0.0	0.0	0.0	0.0	False	False	False	0.0	False	0.0	PASS
CBIOP_WXS_PRAD_BROAD	PTEN	1	PRAD	MRS	Male reproductory system	WXS	rec	YES	YES	tier1_tier3	4.0	6.0	1.5	dndscv,cbase	primary	/workspace/projects/intogen_2017/runs/20180502/combination/CBIOP_WXS_PRAD_BROAD.01.out.gz	7.0	0.0	0.0	0.0	0.0	False	False	False	0.0	False	0.0	PASS
CBIOP_WXS_PRAD_BROAD	SCN11A	1	PRAD	MRS	Male reproductory system	WXS	rec	NO	NO	tier1_tier3	6.0	6.0	1.0	cbase	primary	/workspace/projects/intogen_2017/runs/20180502/combination/CBIOP_WXS_PRAD_BROAD.01.out.gz	6.0	0.0	0.0	0.0	0.16666666666666666	False	False	False	0.0	False	0.0	PASS
CBIOP_WXS_PRAD_BROAD	TP53	1	PRAD	MRS	Male reproductory system	WXS	dom	YES	YES	tier1_tier3	7.0	8.0	1.1428571428571428	dndscv	primary	/workspace/projects/intogen_2017/runs/20180502/combination/CBIOP_WXS_PRAD_BROAD.01.out.gz	7.0	0.0	0.0	0.0	0.0	False	False	False	0.0	False	0.0	PASS
CBIOP_WXS_PRAD_BROAD	MED12	1	PRAD	MRS	Male reproductory system	WXS	dom	YES	NO	tier1_tier3	6.0	6.0	1.0	oncodriveclustl	primary	/workspace/projects/intogen_2017/runs/20180502/combination/CBIOP_WXS_PRAD_BROAD.01.out.gz	5.0	0.0	0.0	0.0	0.0	False	False	False	0.0	False	0.0	PASS
CBIOP_WXS_PRAD_BROAD	CNOT3	1	PRAD	MRS	Male reproductory system	WXS	dom	YES	NO	tier1_tier3	3.0	4.0	1.3333333333333333	oncodriveclustl	primary	/workspace/projects/intogen_2017/runs/20180502/combination/CBIOP_WXS_PRAD_BROAD.01.out.gz	4.0	0.0	0.0	0.0	0.0	False	False	False	0.0	False	0.0	PASS
CBIOP_WXS_PRAD_BROAD	KAT6B	1	PRAD	MRS	Male reproductory system	WXS	rec	YES	NO	tier1_tier3	3.0	3.0	1.0		primary	/workspace/projects/intogen_2017/runs/20180502/combination/CBIOP_WXS_PRAD_BROAD.01.out.gz	3.0	0.0	0.0	0.0	0.0	False	False	False	0.0	False	0.0	PASS
CBIOP_WXS_PRAD_BROAD	ERG	1	PRAD	MRS	Male reproductory system	WXS		YES	YES	tier1_tier3	7.0	7.0	1.0	edriver,oncodriveclustl	primary	/workspace/projects/intogen_2017/runs/20180502/combination/CBIOP_WXS_PRAD_BROAD.01.out.gz	7.0	0.0	0.0	0.0	0.0	False	False	False	0.0	False	0.0	PASS
CBIOP_WXS_PRAD_BROAD	IDH1	1	PRAD	MRS	Male reproductory system	WXS	dom	YES	NO	tier1_tier3	3.0	3.0	1.0		primary	/workspace/projects/intogen_2017/runs/20180502/combination/CBIOP_WXS_PRAD_BROAD.01.out.gz	3.0	0.0	0.0	0.0	0.0	False	False	False	0.0	False	0.0	PASS
CBIOP_WXS_PRAD_BROAD	FOXA1	1	PRAD	MRS	Male reproductory system	WXS	dom	YES	YES	tier1_tier3	4.0	4.0	1.0		primary	/workspace/projects/intogen_2017/runs/20180502/combination/CBIOP_WXS_PRAD_BROAD.01.out.gz	4.0	0.0	0.0	0.0	0.0	False	False	False	0.0	False	0.0	PASS
CBIOP_WXS_SCLC_JHU	RB1	1	SCLC	L	Lung	WXS	rec	YES	YES	tier1_tier3	9.0	9.0	1.0	oncodrivefml,cbase,dndscv	primary	/workspace/projects/intogen_2017/runs/20180502/combination/CBIOP_WXS_SCLC_JHU.01.out.gz				0.0	0.0	False	False	False	0.0			PASS
CBIOP_WXS_SCLC_JHU	TP53	1	SCLC	L	Lung	WXS	rec	YES	YES	tier1_tier3	21.0	22.0	1.0476190476190477	oncodrivefml,cbase,dndscv	primary	/workspace/projects/intogen_2017/runs/20180502/combination/CBIOP_WXS_SCLC_JHU.01.out.gz				0.0	0.0	False	False	False	0.0			PASS
